venue_name,source_venue_name,sol_level,guide_year,locality,street_address,source_url,source_type,source_published_or_updated_at,source_accessed_at,verification_status,verification_note
Ramón Freixa Atelier,Ramón Freixa Atelier,3,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevo-restaurante-3-soles-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 three-Sol award page.
Bascoat,Bascoat,2,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-2-soles-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 two-Sol award page.
Smoked Room,Smoked Room,2,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-2-soles-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 two-Sol award page.
Bancal,Bancal,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
Desborre,Desborre,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
EMi,EMi,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
Los 33,Los 33,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
Otoro Jukusei,Otoro Jukusei,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
Ramón Freixa Tradición,Ramón Freixa Tradición,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
Trèsde,Trèsde,1,2026,Madrid,,https://www.guiarepsol.com/es/soles-repsol/soles-2026/nuevos-restaurantes-un-sol-guia-repsol/,award-level-page,2026-02-16,2026-07-12,verified,Name; Sol level; 2026 year and Madrid locality supported by the official 2026 one-Sol award page.
