venue_name,source_venue_name,sol_level,guide_year,locality,street_address,source_url,source_type,source_published_or_updated_at,source_accessed_at,verification_status,verification_note
Coque,Coque,3,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
DiverXO,DiverXO,3,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
DSTAgE,DSTAgE,3,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
Deessa,Deessa,2,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
Saddle,Saddle,2,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
Ugo Chan,Ugo Chan,2,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
A'Barra,A'Barra,1,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
Alabaster,Alabaster,1,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
Fismuler,Fismuler,1,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
La Catapa,La Catapa,1,2026,Madrid,,https://www.guiarepsol.com/content/dam/repsol-guia/documentos/es/Cuadernillo%20digital%20Gu%C3%ADa%20Repsol%202026.pdf,digital-booklet,,2026-07-12,verified,Exact name; Sol level; Madrid locality checked in the official 2026 booklet (printed listing pages 90-91).
